eez_id,reporting_name,eez_type,territory1,territory1_iso3,territory2,territory2_iso3,territory3,territory3_iso3,sovereign1,sovereign1_iso3,sovereign2,sovereign2_iso3,sovereign3,sovereign3_iso3,area_km2
8337,Seychellois Exclusive Economic Zone,200NM,Seychelles,SYC,NA,NA,NA,NA,Seychelles,SYC,NA,NA,NA,NA,1341497.029
8373,Syrian Exclusive Economic Zone,200NM,Syria,SYR,NA,NA,NA,NA,Syria,SYR,NA,NA,NA,NA,10270.25536
8392,Togolese Exclusive Economic Zone,200NM,Togo,TGO,NA,NA,NA,NA,Togo,TGO,NA,NA,NA,NA,15439.2618
8332,Thailand Exclusive Economic Zone,200NM,Thailand,THA,NA,NA,NA,NA,Thailand,THA,NA,NA,NA,NA,298685.971
26523,Turkmen Exclusive Economic Zone,200NM,Turkmenistan,TKM,NA,NA,NA,NA,Turkmenistan,TKM,NA,NA,NA,NA,61222.86094
8758,East Timorian Exclusive Economic Zone,200NM,East Timor,TLS,NA,NA,NA,NA,East Timor,TLS,NA,NA,NA,NA,72174.8295
21791,Oecussi Ambeno Exclusive Economic Zone,200NM,Oecusse,TLS,NA,NA,NA,NA,East Timor,TLS,NA,NA,NA,NA,1826.500023
8448,Tongan Exclusive Economic Zone,200NM,Tonga,TON,NA,NA,NA,NA,Tonga,TON,NA,NA,NA,NA,666078.5279
8420,Trinidad and Tobago Exclusive Economic Zone,200NM,Trinidad and Tobago,TTO,NA,NA,NA,NA,Trinidad and Tobago,TTO,NA,NA,NA,NA,76575.03602
8366,Tunisian Exclusive Economic Zone,200NM,Tunisia,TUN,NA,NA,NA,NA,Tunisia,TUN,NA,NA,NA,NA,99763.73732
5697,Turkish Exclusive Economic Zone,200NM,Turkey,TUR,NA,NA,NA,NA,Turkey,TUR,NA,NA,NA,NA,262134.6272
8326,Tuvaluan Exclusive Economic Zone,200NM,Tuvalu,TUV,NA,NA,NA,NA,Tuvalu,TUV,NA,NA,NA,NA,753126.4347
8321,Taiwanese Exclusive Economic Zone,200NM,Taiwan,TWN,NA,NA,NA,NA,Taiwan,TWN,NA,NA,NA,NA,355471.95
8479,Tanzanian Exclusive Economic Zone,200NM,Tanzania,TZA,NA,NA,NA,NA,Tanzania,TZA,NA,NA,NA,NA,241452.7984
8467,Uruguayan Exclusive Economic Zone,200NM,Uruguay,URY,NA,NA,NA,NA,Uruguay,URY,NA,NA,NA,NA,143090.7105
8444,American Samoa Exclusive Economic Zone,200NM,American Samoa,ASM,NA,NA,NA,NA,United States,USA,NA,NA,NA,NA,405844.2197
33180,Virgin Islander Exclusive Economic Zone,200NM,United States Virgin Islands,VIR,NA,NA,NA,NA,United States,USA,NA,NA,NA,NA,38290.06292
48957,Guam Exclusive Economic Zone,200NM,Guam,GUM,NA,NA,NA,NA,United States,USA,NA,NA,NA,NA,208211.4907
48980,Northern Mariana Exclusive Economic Zone,200NM,Northern Mariana Islands,MNP,NA,NA,NA,NA,United States,USA,NA,NA,NA,NA,763555.0084
8443,Palmyra Atoll Exclusive Economic Zone,200NM,Palmyra Atoll,UMI,NA,NA,NA,NA,United States,USA,NA,NA,NA,NA,353739.6774
33179,Puerto Rican Exclusive Economic Zone,200NM,Puerto Rico,PRI,NA,NA,NA,NA,United States,USA,NA,NA,NA,NA,154652.2442
8442,Jarvis Island Exclusive Economic Zone,200NM,Jarvis Island,UMI,NA,NA,NA,NA,United States,USA,NA,NA,NA,NA,323173.1197
8451,Howland and Baker Islands Exclusive Economic Zone,200NM,Howland and Baker islands,UMI,NA,NA,NA,NA,United States,USA,NA,NA,NA,NA,434885.3385
8319,Wake Island Exclusive Economic Zone,200NM,Wake Island,UMI,NA,NA,NA,NA,United States,USA,NA,NA,NA,NA,407153.961
8453,United States Exclusive Economic Zone (Hawaii),200NM,Hawaii,USA,NA,NA,NA,NA,United States,USA,NA,NA,NA,NA,2474713.605
8452,Johnston Atoll Exclusive Economic Zone,200NM,Johnston Atoll,UMI,NA,NA,NA,NA,United States,USA,NA,NA,NA,NA,442442.947
8456,United States Exclusive Economic Zone,200NM,United States,USA,NA,NA,NA,NA,United States,USA,NA,NA,NA,NA,2451978.739
8463,United States Exclusive Economic Zone (Alaska),200NM,Alaska,USA,NA,NA,NA,NA,United States,USA,NA,NA,NA,NA,3682949.919
8421,Saint Vincent and the Grenadines Exclusive Economic Zone,200NM,Saint Vincent and the Grenadines,VCT,NA,NA,NA,NA,Saint Vincent and the Grenadines,VCT,NA,NA,NA,NA,36243.19259
8433,Venezuelan Exclusive Economic Zone,200NM,Venezuela,VEN,NA,NA,NA,NA,Venezuela,VEN,NA,NA,NA,NA,472616.0037
8484,Vietnamese Exclusive Economic Zone,200NM,Vietnam,VNM,NA,NA,NA,NA,Vietnam,VNM,NA,NA,NA,NA,750997.839
8313,Vanuatu Exclusive Economic Zone,200NM,Vanuatu,VUT,NA,NA,NA,NA,Vanuatu,VUT,NA,NA,NA,NA,623417.0685
8445,Samoan Exclusive Economic Zone,200NM,Samoa,WSM,NA,NA,NA,NA,Samoa,WSM,NA,NA,NA,NA,130473.5469
8353,Yemeni Exclusive Economic Zone,200NM,Yemen,YEM,NA,NA,NA,NA,Yemen,YEM,NA,NA,NA,NA,527382.7338
8396,South African Exclusive Economic Zone,200NM,South Africa,ZAF,NA,NA,NA,NA,South Africa,ZAF,NA,NA,NA,NA,1072718.433
8384,South African Exclusive Economic Zone (Prince Edward Islands),200NM,Prince Edward Islands,ZAF,NA,NA,NA,NA,South Africa,ZAF,NA,NA,NA,NA,474896.7774
49003,Disputed area South China Sea,Disputed,China,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338839.1583
48947,Disputed area: Iran / United Arab Emirates,Disputed,United Arab Emirates,ARE,Iran,IRN,NA,NA,United Arab Emirates,ARE,Iran,IRN,NA,NA,6173.224892
48943,Disputed area: Canada / USA,Disputed,Canada,CAN,United States,USA,NA,NA,Canada,CAN,United States,USA,NA,NA,23372.57127
48971,Disputed area: Venezuela / Colombia / Dominican Republic,Disputed,Colombia,COL,Dominican Republic,DOM,Venezuela,VEN,Colombia,COL,Dominican Republic,DOM,Venezuela,VEN,863.049827
48956,Disputed area Doumeira Islands: Djibouti / Eritrea,Disputed,Eritrea,ERI,Djibouti,DJI,NA,NA,Eritrea,ERI,Djibouti,DJI,NA,NA,244.983278
8368,Disputed area Western Saharan Exclusive Economic Zone,Disputed,Western Sahara,ESH,Morocco,MAR,NA,NA,Western Sahara,ESH,Morocco,MAR,NA,NA,284066.3754
48998,Disputed area Perejil Island: Spain / Morocco,Disputed,Perejil Island,ESP,Morocco,MAR,NA,NA,Spain,ESP,Morocco,MAR,NA,NA,0.641232914
49000,Disputed area Melilla: Spain / Morocco,Disputed,Melilla,ESP,Morocco,MAR,NA,NA,Spain,ESP,Morocco,MAR,NA,NA,27.05787854
